,Date,NERC,Area,Disturbance,Loss,Affected Customers,Restoration Date
2632,2020-01-14 00:00:00,FRCC,Florida,Suspicious Activity,784.0531950652353,202340.86111111112,01/14/2020
2633,2020-01-16 00:00:00,TRE,Texas,System Operations,227.61758764334965,75034.07073954983,01/16/2020
2634,2020-01-17 00:00:00,WECC,California,Transmission Interruption,87.0,67864.0,01/17/2020
2635,2020-01-20 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,01/20/2020
2636,2020-01-22 00:00:00,WECC,Nevada,Actual Physical Attack,7.0,3120.0,01/22/2020
2637,2020-01-23 00:00:00,FRCC,Florida,Vandalism,784.0531950652353,202340.86111111112,01/24/2020
2638,2020-01-24 00:00:00,WECC,California,Fuel Supply Deficiency,492.8332770163392,58512.31137724551,Unknown
2639,2020-01-27 00:00:00,MRO,South Dakota,System Operations,540.0,130000.0,01/27/2020
2640,2020-01-30 00:00:00,MRO,North Dakota,Transmission Interruption,75.0,2333.0416666666665,01/30/2020
2641,2020-01-31 00:00:00,WECC,California,Suspicious Activity,492.8332770163392,58512.31137724551,02/03/2020
2643,2020-02-06 00:00:00,SERC,South Carolina,Transmission Interruption,4598.028909817714,89500.0,02/07/2020
2644,2020-02-07 00:00:00,NPCC,Vermont,Severe Weather,72.8917153934307,123359.0,02/08/2020
2645,2020-02-07 00:00:00,NPCC,New York,Severe Weather,218.33384717844993,7500.0,02/10/2020
2647,2020-02-07 00:00:00,SERC,Virginia,Severe Weather,318171010.60976845,87000.0,Unknown
2648,2020-02-08 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,02/08/2020
2649,2020-02-09 00:00:00,WECC,Nevada,Severe Weather,500.0,145000.0,02/09/2020
2650,2020-02-11 00:00:00,TRE,Texas,System Operations,227.61758764334965,75034.07073954983,02/11/2020
2651,2020-02-11 00:00:00,WECC,Oregon,Transmission Interruption,17.359215826019042,4712.045454545455,02/11/2020
2652,2020-02-12 00:00:00,NPCC,Maine,System Operations,5.698226656772256,16419.975609756097,02/12/2020
2653,2020-02-13 00:00:00,WECC,Oregon,Vandalism,17.359215826019042,4712.045454545455,02/13/2020
2654,2020-02-17 00:00:00,SERC,Alabama,Vandalism,97.0,20018.76923076923,02/17/2020
2655,2020-02-17 00:00:00,RF,Michigan,Vandalism,485.892120885498,100242.0985915493,02/20/2020
2656,2020-02-17 00:00:00,WECC,California,Severe Weather,91.0,70000.0,Unknown
2657,2020-02-18 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,02/18/2020
2658,2020-02-25 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,02/25/2020
2659,2020-02-26 00:00:00,SPPRE,Oklahoma,System Operations,56.41057462808369,52398.09523809524,02/26/2020
2660,2020-02-26 00:00:00,NPCC,Maine,System Operations,5.698226656772256,16419.975609756097,02/26/2020
2661,2020-02-26 00:00:00,MRO,Wyoming,System Operations,321.26936754860634,47779.826496711925,02/26/2020
2662,2020-02-29 00:00:00,WECC,Nevada,System Operations,2657.17670377655,220871.73214285713,02/29/2020
2663,2020-03-01 00:00:00,SERC,Mississippi,Transmission Interruption,19.0,3136.0,03/01/2020
2664,2020-03-01 00:00:00,NPCC,New York,Vandalism,218.33384717844993,54921.72173913044,Unknown
2666,2020-03-02 00:00:00,WECC,Nevada,System Operations,2657.17670377655,220871.73214285713,03/02/2020
2667,2020-03-03 00:00:00,SERC,Alabama,Vandalism,98.91420155952726,20018.76923076923,03/03/2020
2668,2020-03-08 00:00:00,TRE,Texas,Suspicious Activity,227.61758764334965,75034.07073954983,03/09/2020
2669,2020-03-12 00:00:00,RF,Pennsylvania,Transmission Interruption,40.0,15864.0,03/12/2020
2670,2020-03-16 00:00:00,WECC,California,Severe Weather,165.0,110800.0,03/16/2020
2671,2020-03-16 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,03/16/2020
2672,2020-03-16 00:00:00,WECC,California,Vandalism,492.8332770163392,58512.31137724551,03/16/2020
2673,2020-03-17 00:00:00,RF,Michigan,System Operations,6062.0,100242.0985915493,03/17/2020
2674,2020-03-18 00:00:00,WECC,Utah,Natural Disaster,237.0,73000.0,Unknown
2675,2020-03-19 00:00:00,MRO,Minnesota,System Operations,193.87276762299862,26829.72972972973,03/19/2020
2676,2020-03-20 00:00:00,NPCC,Vermont,System Operations,72.8917153934307,91694.48333333334,03/20/2020
2677,2020-03-20 00:00:00,NPCC,Maine,System Operations,5.698226656772256,16419.975609756097,03/20/2020
2678,2020-03-20 00:00:00,NPCC,Massachusetts,System Operations,16.370022732034833,37383.10344827586,03/21/2020
2679,2020-03-23 00:00:00,MRO,Wisconsin,Vandalism,81.56188381985727,27010.277777777777,03/25/2020
2680,2020-03-23 00:00:00,SERC,Virginia,Sabotage,318171010.60976845,1018.0,03/23/2020
2681,2020-03-24 00:00:00,WECC,Nevada,Suspicious Activity,2657.17670377655,220871.73214285713,03/24/2020
2682,2020-03-24 00:00:00,NPCC,Vermont,Severe Weather,72.8917153934307,51026.0,03/24/2020
2683,2020-03-25 00:00:00,WECC,Nevada,Vandalism,2657.17670377655,220871.73214285713,Unknown
2684,2020-03-26 00:00:00,RF,Ohio,Transmission Interruption,19.0,11964.0,03/26/2020
2685,2020-03-27 00:00:00,RF,Maryland,System Operations,134.8943673947547,39661.69565217391,03/27/2020
2686,2020-03-27 00:00:00,RF,New Jersey,System Operations,35.071579503023216,98520.64705882352,03/27/2020
2687,2020-03-29 00:00:00,SERC,Mississippi,Transmission Interruption,4.0,1558.0,03/29/2020
